flight_datetime,origin,destination,scheduled_departure_hour,route_distance,aircraft_type,aircraft_age,turnaround_minutes,passenger_load_factor,visibility,wind_speed,precipitation,thunderstorm_flag,airport_congestion_index,runway_utilization,gate_availability,crew_rest_hours,crew_change_last_minute,previous_leg_delay,maintenance_events_last_30d,crew_status_new_FINAL,sched_buffer_mins_latest,ops_delay_prediction_v2,actual_gate_out_time_diff,maintenance_closed_after_pushback,final_delay_reason,actual_delay_minutes,delay_over_15m
2024-01-01 00:00:00,CDG,ZRH,0,1208.039459423142,E190,12.331888721336218,65.31929557634464,0.8955399272883509,7.993843647852289,33.45711669713797,2.008993534257067,0,42.65520030557965,0.8536271184569988,10.608771871165375,12.88516967244177,0,0.0,3.0,0,65.31929557634464,13.148093887812337,5.189945679751785,0,NONE,2.3739007768509572,0
2024-01-01 00:30:00,VIE,MAD,0,1324.0323036843954,E190,11.125741279747938,49.23908628278233,0.9470611956370658,10.471545723334042,18.732327126810397,1.0511953437272972,0,62.26962248558405,0.8035966647825161,8.509747021641136,12.05590485766761,0,11.884487683937392,,0,49.23908628278233,3.674381341542154,3.5093319547534882,0,NONE,4.0498217890084875,0
2024-01-01 01:00:00,AMS,MUC,1,1198.2702097198644,B737,12.015662178829716,58.25214895786828,0.9324298601291039,6.697408502529732,31.28740182200867,1.4391315175420336,0,46.86018177951763,0.7760648747346417,13.105100714613362,13.432771954744227,0,22.047020413722564,1.0,0,58.25214895786828,14.52747425889074,-3.781593027055273,0,NONE,0.22504110438816427,0
2024-01-01 01:30:00,BUD,ZRH,1,1211.2510887799908,E190,10.005903275991129,42.24671707249878,0.7516991532596292,11.642091644515425,20.352171491116216,0.1843829805794983,0,56.333119040608686,0.9011587527857801,11.752022653057168,9.444036666933112,0,0.0,1.0,0,42.24671707249878,-1.3757451254028117,1.6572664959731407,0,NONE,8.432853990963931,0
2024-01-01 02:00:00,CDG,MUC,2,1039.4337625052744,E190,5.218236226590852,73.21300146043107,0.9338680967867422,9.213155074416509,9.479276213696231,1.4156377138522818,0,46.91250880205424,0.5955450191586547,14.488481062926654,10.539108484324718,0,14.196941884234011,,0,73.21300146043107,11.24071573366043,-1.5184330808221005,0,NONE,1.237741973959034,0
2024-01-01 02:30:00,FCO,FRA,2,2328.6841274631133,B737,14.801825660503141,64.92339618822197,0.986005701657455,5.659472134261966,21.898872900767692,1.2435706497855583,0,64.47697357192608,0.5549804259092836,11.761810488734202,11.127043717640397,0,28.936704542649185,1.0,0,64.92339618822197,26.606775482177497,0.9304220569949007,0,NONE,1.4057097968041088,0
2024-01-01 03:00:00,ZRH,VIE,3,1321.6289461894426,B737,9.410334275372788,33.754521699352544,0.7539102026888668,,20.67952779699598,1.9037087667375974,0,44.64629301507972,0.9070891623705835,7.461818579203422,9.186909437927467,0,0.0,0.0,0,33.754521699352544,-6.158084442306507,3.546734532288066,0,NONE,5.754678267293645,0
2024-01-01 03:30:00,CDG,BUD,3,1261.2368001721104,A321,5.2162429391183665,55.21206715377092,0.8801032021921689,,22.99416172761267,0.5088919462490293,0,61.096762851581076,0.8849781818914084,16.271248729563826,13.565690083983423,0,0.5596403303802031,0.0,0,55.21206715377092,0.33404507997943766,3.6980809389617626,0,NONE,4.969315581025773,0
2024-01-01 04:00:00,AMS,LHR,4,1668.2858630028022,A319,4.4880847379530575,34.14282933788914,0.7524354960269182,9.468259749316177,18.826380249321016,2.6782267445807353,0,70.48854418842255,0.8480127351545059,8.111567905075514,12.187106106917556,0,41.16217612236081,0.0,0,34.14282933788914,35.21174644662783,16.145671497633945,0,NONE,14.678501892591425,0
2024-01-01 04:30:00,BUD,MAD,4,920.4741437839874,A320,5.3288032539999755,43.00756083922985,0.6743877048041292,4.444148732543311,13.205297016327368,4.358165298033345,0,54.004951135536615,0.6775672069779862,20.06767044305731,11.880397690858294,0,34.810692607373255,1.0,0,43.00756083922985,23.4814115276369,3.9365558178073723,0,NONE,1.9749862969968912,0
